city,State_ab,State_name,population,density
Stewartstown,PA,Pennsylvania,5057.0,1037.0
Stewartsville,MO,Missouri,586.0,802.0
Stewartville,MN,Minnesota,3864.0,376.5
Stickney,IL,Illinois,3419.0,854.0
Stidham,OK,Oklahoma,19.0,211.0
Stigler,OK,Oklahoma,2835.0,382.0
Stiles,PA,Pennsylvania,1166.0,2093.0
Stilesville,IN,Indiana,337.0,348.0
Stillman Valley,IL,Illinois,1053.0,856.0
Stillmore,GA,Georgia,518.0,64.0
Stillwater,OK,Oklahoma,23377.0,541.0
Stilwell,OK,Oklahoma,4060.0,483.0
Stinesville,IN,Indiana,218.0,719.0
Stinnett,TX,Texas,1770.0,344.0
Stinson Beach,CA,California,600.0,160.0
Stirling City,CA,California,374.0,122.0
Stites,ID,Idaho,232.0,959.0
Stock Island,FL,Florida,4416.0,2037.0
Stockbridge,GA,Georgia,10589.333333333334,412.3333333333333
Stockdale,TX,Texas,1074.0,562.0
Stockertown,PA,Pennsylvania,926.0,368.0
Stockett,MT,Montana,180.0,47.0
Stockham,NE,Nebraska,45.0,102.0
Stockholm,SD,South Dakota,85.5,60.5
Stockport,OH,Ohio,379.5,335.0
Stockton,CA,California,40500.1,434.6
Stockville,NE,Nebraska,25.0,36.0
Stockwell,IN,Indiana,435.0,64.0
Stoddard,WI,Wisconsin,830.0,502.0
Stokes,NC,North Carolina,777.0,67.0
Stokesdale,NC,North Carolina,5489.0,111.0
Stollings,WV,West Virginia,205.0,220.0
Stone City,IA,Iowa,130.0,28.0
Stone Creek,OH,Ohio,171.0,153.0
Stone Harbor,NJ,New Jersey,810.0,220.0
Stone Lake,WI,Wisconsin,139.0,57.0
Stone Mountain,GA,Georgia,6281.0,1473.0
Stone Park,IL,Illinois,4826.0,5423.0
Stone Ridge,VA,Virginia,7774.0,1146.5
Stoneboro,PA,Pennsylvania,980.0,133.0
Stonecrest,GA,Georgia,54903.0,566.0
Stonefort,IL,Illinois,285.0,75.0
Stonegate,CO,Colorado,9847.0,2075.0
Stonerstown,PA,Pennsylvania,382.0,414.0
Stoneville,NC,North Carolina,1257.0,339.0
Stonewall,LA,Louisiana,964.6,153.0
