city,state_id,state_name,Low_Confidence_Limit,Data_Value,health_bad,High_Confidence_Limit,PopulationCount,density,state_name,ALand,AWater,Median,Stdev
Hampton,VA,Virginia,12.75714286,13.91428571,1,15.01714286,11780.22857,1009,Virginia,4352728.142857143,11182008.857142856,57586.42857142857,39239.21428571428
Hartford,CT,Connecticut,15.49047619,16.84761905,1,18.22380952,8912.5,2712,Connecticut,1263776.0666666667,67016.2,35360.13333333333,34694.2
Hawthorne,CA,California,12.86521739,14.0173913,1,15.2,10991.69565,5463,California,1943524.857142857,1682.142857142857,86717.57142857143,44212.857142857145
Hayward,CA,California,11.11052632,11.95,0,12.80789474,11382.68421,1349,California,1770650.3076923077,4737.7692307692305,116343.15384615384,50546.769230769234
Hemet,CA,California,14.39166667,15.41666667,1,16.47916667,9830.791667,1125,California,17996378.777777776,3185.0,42557.22222222222,44739.22222222222
Henderson,NV,Nevada,11.26911765,12.36617647,0,13.5,11369.72059,1165,Nevada,8699625.84,0.0,116706.04,57697.12
Hesperia,CA,California,14.7,15.73888889,1,16.8,15028.22222,508,California,6500470.75,0.0,51387.75,37012.5
Hialeah,FL,Florida,13.38409091,14.86818182,1,16.37045455,15318.22727,4174,Florida,1525024.1176470588,78818.82352941176,32107.176470588234,35242.94117647059
High Point,NC,North Carolina,13.06285714,14.23714286,1,15.48285714,8945.542857,777,North Carolina,6873063.083333333,24568.166666666668,70267.33333333333,40140.25
Hillsboro,OR,Oregon,11.91304348,13.16956522,0,14.47391304,11946.13043,1640,Oregon,32957914.125,50324.375,145622.5,53800.5
Hollywood,FL,Florida,12.8,13.86216216,0,14.94324324,11413.62162,2192,Florida,2326296.923076923,87968.46153846153,104066.61538461539,46062.692307692305
Honolulu,HI,Hawaii,9.553813559,10.31779661,0,11.08601695,12116.84322,2200,Hawaii,2954641.1707317075,924104.4390243902,109976.51219512195,57229.85365853659
Hoover,AL,Alabama,10.34,11.57,0,12.93,8161.0,691,Alabama,12388843.833333334,327375.3333333333,156242.66666666666,61905.666666666664
Houston,TX,Texas,12.53032491,13.80631769,0,15.12743682,11367.52347,1399,Texas,4287144.299107143,180701.36607142858,92485.22767857143,47939.20982142857
Huntington Beach,CA,California,9.866666667,10.93333333,0,12.07083333,11874.5,2848,California,5784788.611111111,971725.0555555555,112902.72222222222,58816.333333333336
Huntsville,AL,Alabama,13.575,14.96166667,1,16.43333333,9003.583333,361,Alabama,14815289.166666666,107040.27777777778,66177.66666666667,43942.11111111111
Independence,MO,Missouri,13.79333333,15.01,1,16.22666667,11682.36667,577,Missouri,8919959.3,178558.1,75763.7,40546.2
Indianapolis,IN,Indiana,14.26481481,15.64259259,1,17.07777778,11395.06944,935,Indiana,4400012.928571428,108951.26190476191,58630.416666666664,39845.166666666664
Indio,CA,California,13.03181818,14.36818182,1,15.71363636,10366.77273,1066,California,4115510.4,11660.0,45309.6,42637.4
Inglewood,CA,California,12.8030303,14.10909091,1,15.45757576,9970.242424,4604,California,794571.8181818182,1199.6363636363637,42972.545454545456,42342.545454545456
