,city,state_id,state_name,population,density
26519,Dumont,MN,Minnesota,88,78
26520,Kerrtown,PA,Pennsylvania,88,40
26521,Martinsburg,NE,Nebraska,88,325
26522,Davis,SD,South Dakota,88,79
26523,Comstock,NE,Nebraska,88,97
26524,Chelan Falls,WA,Washington,88,121
26525,New Pine Creek,CA,California,88,14
26526,Revere,MN,Minnesota,88,59
26527,Harrisburg,NE,Nebraska,88,5
26528,Brazos,NM,New Mexico,88,156
26529,Learned,MS,Mississippi,88,101
26530,Keene,KY,Kentucky,88,276
26531,Gattman,MS,Mississippi,88,60
26532,Rutherford,CA,California,88,20
26533,Georgetown,MD,Maryland,88,23
26534,Headrick,OK,Oklahoma,88,164
26535,Big Pool,MD,Maryland,88,315
26536,Arrow Point,MO,Missouri,87,175
26537,Wallace,SD,South Dakota,87,252
26538,Gate,OK,Oklahoma,87,133
26539,Carleton,NE,Nebraska,87,36
26540,Blue Springs,AL,Alabama,87,11
26541,Orrum,NC,North Carolina,87,70
26542,Pelican,AK,Alaska,87,61
26543,Ionia,MO,Missouri,87,226
26544,Blandville,KY,Kentucky,87,160
26545,Milo,MO,Missouri,87,440
26546,Holt,MN,Minnesota,87,33
26547,Lengby,MN,Minnesota,87,136
26548,New Middletown,IN,Indiana,87,962
26549,Rock House,AZ,Arizona,87,55
26550,Manville,WY,Wyoming,87,123
26551,Matlock,IA,Iowa,87,89
26552,Center,NE,Nebraska,87,321
26553,Corwin Springs,MT,Montana,87,23
26554,Port Mansfield,TX,Texas,87,6
26555,Newport,NE,Nebraska,87,105
26556,Carter,MT,Montana,87,11
26557,Esterbrook,WY,Wyoming,87,9
26558,Wilsonville,NE,Nebraska,87,125
26559,Lebam,WA,Washington,87,22
