city,State_name,State_ab,ALand,AWater,Median,Stdev
Mckee,Kentucky,KY,6035148,1150,27047,40490.06475
Mckeesport,Pennsylvania,PA,2009162.5,195833,84738.5,93069.57156
Mckenzie,Alabama,AL,12953699.5,21560.5,181360.5,58271.50648
Mckinleyville,California,CA,27111447,9982,114071,137920.5262
Mckinney,Texas,TX,163107658,1741187,153413,164346.7688
Mckittrick,California,CA,8026554,0,217277.5,95224.98715
Mclaughlin,South Dakota,SD,1047066,0,74090,101907.8855
Mclean,Texas,TX,33589410.5,135504.5,172227,170944.9679
Mclemoresville,Tennessee,TN,6688785,0,81759,69200.05139
Mcloud,Oklahoma,OK,49063814,205187,73890,77755.46758
Mcmechen,West Virginia,WV,1478321,686015,69028,68915.77415
Mcminnville,Tennessee,TN,2429078,0,81998,80771.72113
Mcmurray,Pennsylvania,PA,5358604,65209,173177,177756.8961
Mcnary,Arizona,AZ,63763482.33,73594.33333,214733.6667,81284.7316
Mcpherson,Kansas,KS,19502433,133600,98316,129254.845
Mcqueeney,Texas,TX,10598712,1013746,142542,152110.1668
Mcville,North Dakota,ND,2311147.667,59395.33333,152797.3333,133133.3499
Mead,Colorado,CO,17929584.5,67649.5,164844.25,155863.4045
Meade,Kansas,KS,3749591,0,82139,101923.5585
Meadow Bridge,West Virginia,WV,1051158,819,46538,48997.51684
Meadowview,Virginia,VA,11993244,12777,88886,89944.07686
Meadville,Missouri,MO,2584894,2268,67368,66285.4448
Mebane,North Carolina,NC,23213152,316456,109405,133137.9123
Mecca,California,CA,28952348,13989,54996,67868.6403
Mechanic Falls,Maine,ME,13838991,336132,64398,117561.7788
Mechanicsburg,Ohio,OH,2508265,15484.75,135436.5,84535.11869
Medford,Massachusetts,MA,26016041.4,309724.6,108303.2,139700.4187
Medford Lakes,New Jersey,NJ,2951403,336335,182221,183327.2117
Media,Pennsylvania,PA,2886296.5,4151.5,111808.5,140571.9887
Mediapolis,Iowa,IA,3119520,0,89338,112040.7836
Medicine Bow,Wyoming,WY,8956733,0,55691,14197.11984
Medicine Lake,Montana,MT,2270316,0,187846.5,135122.1155
Medicine Lodge,Kansas,KS,470039.5,0,182336,58218.3832
Medina,North Dakota,ND,3863357.2,11562.8,246400.4,130101.2585
Medora,Illinois,IL,887194.8,9680.4,104851.8,69882.35356
Mekoryuk,Alaska,AK,16491474,14094,87639,71981.94128
Melba,Idaho,ID,1034227,17753,62405,54373.00683
Melbourne,Arkansas,AR,8668959,114920,165070,158969.2543
Melbourne Beach,Florida,FL,2541532,1075570,147615,169271.202
Melcher,Iowa,IA,2578457,0,70064,104279.8478
Melcroft,Pennsylvania,PA,2806810,0,300000,6699.885389
Melfa,Virginia,VA,5629118,173.6666667,123969,67083.23647
Melissa,Texas,TX,26188954,172490,277822,148425.3473
Mellen,Wisconsin,WI,1604039,0,49122,39092.45315
Mellette,South Dakota,SD,821755,0,217531.5,108914.855
Melrose,Minnesota,MN,2481352.667,32682,156239.3333,89153.92373
Melstone,Montana,MT,6608170,0,57362,41025.62883
Melvern,Kansas,KS,904931,0,71527,34355.68043
Memphis,Michigan,MI,139727842,3879372.833,69729.5,78034.57469
Mena,Arkansas,AR,17414887,107626,66296,107036.1221
Menahga,Minnesota,MN,9608391,503282,60220,63810.58532
Menan,Idaho,ID,1563898,0,79588,83025.15503
Menands,New York,NY,7920610,649378,143122,159803.657
Menasha,Wisconsin,WI,15756877,3868542,273713,137447.9428
Mendenhall,Mississippi,MS,1663064,0,77715,65955.61768
Mendocino,California,CA,4331554,0,7784,38276.22788
Mendon,Michigan,MI,2262462.333,8065.333333,149197,94329.77521
Mendota,California,CA,7302716.333,85725.33333,75047.33333,101283.1761
Mendota Heights,Minnesota,MN,23530041,2511598,234952,207728.4556
